inc 20211201T073000Z - 20211201T113000Z # prof
inc 20211202T073000Z - 20211202T113000Z # prof
inc 20211205T143000Z - 20211205T163000Z # research
inc 20211206T075113Z - 20211206T092040Z # life
inc 20211206T093000Z - 20211206T113000Z # prof
inc 20211206T133809Z - 20211206T151850Z # prof
inc 20211207T084644Z - 20211207T094012Z # life
inc 20211207T150737Z - 20211207T181358Z # prof
inc 20211208T103928Z - 20211208T181214Z # prof
inc 20211209T073000Z - 20211209T090000Z # prof
inc 20211209T093000Z - 20211209T120000Z # trello
inc 20211209T134041Z - 20211209T134440Z # research
inc 20211209T134551Z - 20211209T134734Z # research
inc 20211209T134741Z - 20211209T143358Z # life
inc 20211210T073954Z - 20211210T083311Z # life
inc 20211211T073430Z - 20211211T083728Z # life
inc 20211211T083741Z - 20211211T103557Z # prof
inc 20211211T133042Z - 20211211T153854Z # prof
inc 20211212T083249Z - 20211212T093558Z # life
inc 20211212T094958Z - 20211212T194719Z # prof
inc 20211213T073000Z - 20211213T113000Z # prof
inc 20211213T130000Z - 20211213T140000Z # life
inc 20211213T141048Z - 20211213T151832Z # life
inc 20211214T113000Z - 20211214T174451Z # "08:30-" prof
inc 20211215T143000Z - 20211215T230000Z # "08:30-" life
inc 20211216T220000Z - 20211217T130802Z # "08:30-" life
inc 20211217T130802Z - 20211217T181243Z # life
inc 20211218T092656Z - 20211218T110256Z # life
inc 20211218T110317Z - 20211218T154308Z # trello
inc 20211219T191001Z - 20211220T113000Z # trello
inc 20211220T113000Z - 20211220T140810Z # "08:30-" prof
inc 20211220T140810Z - 20211220T192346Z # prof
inc 20211221T113000Z - 20211221T143000Z # "08:30-" prof
inc 20211221T143000Z - 20211221T161157Z # "13:30-" prof
inc 20211221T161157Z - 20211221T161204Z # "13:30-"
inc 20211221T161204Z - 20211222T113000Z # prof
inc 20211222T113000Z - 20211222T205947Z # "08:30-" prof
inc 20211223T113000Z - 20211223T163648Z # "08:30-" prof
inc 20211223T163648Z - 20211224T081000Z # life
inc 20211224T081251Z # life
